,BuildingType,PrimaryPropertyType,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamUse_Rate,Electricity_Rate,NaturalGas_Rate,GFABuildingRate,GFAParkingRate,GFALargestPropertyUseRate,TotalUseTypeNumber,BuildingAge
113,1,10,5,47.53722,-122.284,0.6931471805599453,1.791759469228055,11.405585213149562,22,,1950092.5,100.46,0.0,0.03459,0.96541,0.6931471805599453,0.0,0.4170708337156357,1.3862943611198906,7
114,1,19,7,47.65147,-122.36122,0.6931471805599453,1.0986122886681098,10.87069950958867,2,,4116871.5,104.26,0.0,0.60222,0.39778,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,36
115,1,12,7,47.65068,-122.36331,0.6931471805599453,1.6094379124341003,11.846543632608535,32,4.499809670330265,4448582.5,129.39,0.0,0.52068,0.47932,0.5489187783870872,0.23792969550407592,0.6784243293270378,0.6931471805599453,15
116,3,3,8,47.70763,-122.29453,0.6931471805599453,1.0986122886681098,12.374798025109309,9,4.574710978503383,8355988.5,222.78,0.0,0.57324,0.42676,0.6931471805599453,0.0,0.6969250354712105,1.0986122886681098,5
117,1,10,1,47.60462,-122.31549,1.3862943611198906,1.9459101490553132,12.433136502395,19,,13071700.0,422.39,0.28649386681497147,0.62387,0.04438,0.6931471805599453,0.0,0.4370348320744581,1.0986122886681098,45
118,3,3,10,47.68725,-122.35996,0.6931471805599453,1.3862943611198906,11.043353742439358,9,4.574710978503383,1986094.875,54.07,0.0,0.5611,0.4389,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,14
119,1,10,3,47.61598,-122.33448,0.6931471805599453,2.4849066497880004,12.608436282378069,19,,65336980.0,2055.82,0.0,0.46913,0.53087,0.5716459911288982,0.206054359320484,0.6075457182642192,0.6931471805599453,12
120,1,17,5,47.536,-122.31768,0.6931471805599453,1.3862943611198906,11.066888331097017,18,3.091042453358316,3242077.75,49.58,0.0,0.81965,0.18035,0.6931471805599453,0.0,0.38433680248864377,1.3862943611198906,9
121,1,14,8,47.70759,-122.3255,0.6931471805599453,0.6931471805599453,13.180707754378572,34,4.59511985013459,27717034.0,723.47,0.0,0.58536,0.41464,0.6931471805599453,0.0,0.6693410499283095,1.0986122886681098,65
122,1,10,8,47.7066,-122.321,0.6931471805599453,1.3862943611198906,10.900897335695076,26,,7265178.0,231.53,0.0,0.46039,0.53961,0.6931471805599453,0.0,0.6243328645595856,0.6931471805599453,52
123,1,14,8,47.70619,-122.32586,0.6931471805599453,1.6094379124341003,11.7307991549249,34,4.343805421853684,8765978.0,66.3,0.0,0.98718,0.01282,0.6931471805599453,0.0,0.6836825317441598,0.6931471805599453,51
